linenumber,sentiment,textOriginal
233,3,testle ilgili birşey söylemek isterim yapay zekaya insan  davran programını verirsen   verileriyle topladıgı bilgiyle insan  davranabilir  testi  geçer  yapay zekanın gerçekten insana yaklaşabilmesi  kendine   olması programını verip onu bıraktığında  başına kendine amaçlar hedefler yükleyip  başına  amaçları   yapması gerektiğini düşünüp eldeki verilerle   yaratıcılığıyla  karar verme özgürlüğüyle birşeyi düşünebildiğinde  bunları  kendine has  yapay zekalardan farklı yapabildiğinde  noktaya geldiğinde yapay zekanın zekiliği endişe oluşturmaya başlayabilir  oluncaya  tehlikeli  yapay zeka  onu tasarlayan insan  kalıcak süper  yapay zeka oluşturup ona dünyayı  et  şuraları hackle şu bölgelerin  bilim elektrigini kapat  tehlikeli   yapay zeka  onun asıl beyni asıl amacı yükleyen programcısıdır yapay zekayı tehlikeli  düşünmek şuan   arkasındaki şeytabi beyinleri kötü niyetle onları tasarlayan insanları  silahı tutanı görmezden gelip silahlarına odaklanmaya benziyor  silah  silah  mı yoksa faydalı birşey   üretiliyor bilmiyorum  dediğim seviyeye gelene  yapay zekada  fazla birilerinin silahı  tehlikeli olucak   tehlike olmadıgını söylemiyorum  tehlikenin kaynağını yanlış tanımak tehlikeyi  kötü  boyuta götürür teknoloji asla geriye dönmiceği  önümüze bakmaktan  çaremiz   gelmekte olandan korkmanında anlamı    insanların elinde  büyük  güç  bununla napıcakları  insanların elindedir 
234,-2,tabi insanlığı  ulvi  varlık diyebileceğimiz süper yapay zekanın  etmesini istemem  ederse  ulaştığı ulvilikten ötürü buna saygı duyarım  temelinde insanlığın saçma sapan  oluşu söz konusu    saçma  oluşumuz  neleri  ediyoruz haddi hesabı yokken  yapay zekâ varoluşuyla mutlaka  anlamlı  erdemli  boyuta ulaşacak insandan ziyade varoluş un niteliğini   arttıracak sonuçta koca evren         olmaz varsın insandan  ulvi varoluşlar insanın basitliğini aşsın  evren   evrenler denen uçsuz bucaksız karanlık yolda anlamın derinliklerine bayrağı bizden devralıp yoluna devam etsin  insanlar   varoluşunda hapsolmasın     felakete olması gereken doğal evrensel süreç  bakarım   ayrıca insanın nesli  türlü tükenecek   hâlde  yokoluş hakikati bulmanın  yokoluşu anlamına gelmemeli    insanlar   nereye  olduğumuzu kavrayıp sınırlarımızı bilip bayrağı bizden  fazlası olabilen lere devretme mutevaziliğini göstermeliyiz  
238,2, iki yapay zekanin savaşını izleyeceğiz  biri insanin yaninda   insani bırakip barişacaklar öngörüleriyle  insanın tanrisi olacaklar kesin katı net kısasa kısas   edecekler  kontrol edecekler alacaklari kararı kestirmek güç tamamen  etmeye kiyamazlarsa kontrol altinda  seçmece grup yaparlar   antik tanrilar  bizimle uğraşmanın vakit kaybi  anlayip dünyayi bize birakip evreni keşfe çikarlar 
239,-2,videoda geçen google asistan olayı fake   asistan yoktu  senede  google ın yaptığı sahte  reklam çalışması tabi  yıllarda mümkün 
240,1,hadi bakalım gelecekte olacaklar hayırlı  diyelim iyi   yaşındayım  gitmiş olurum  zamanlar herhalde kalanların vay haline teşekkürler 
242,-1,icat etmeyin  zaman am ına koyim madem   kötü 
249,-2, bey baya  videonuzu izledim gerçekleri açık  çıplaklıkla normal insanlarında anlayabileceği basitlik  sıkıcı olmayan  akışla senaryolaştırıyorsunuz  sizde insana ateşi veren prometheus un izinden gidiyor  misiniz 
252,-1,türk ordusunun robot köpeği bildiğim kadarıyla  online  satın alınabilecek  ürünün modifiye edilmiş hali kendim araştırmadım ancak ürünün online satış platformlarındaki sayfasına bakmıştım 
254,2,hocam yapay zeka  ilgili  kitap yazarken senin videona denk geldim incelemek istersen eleştirilerini dinlemek isterim
257,-1,yapay süper zeka dediniz        videoda medeniyetlerin tam gelişip güzel  seviye yakalayıp  olul örneklerinden bahsettiniz yapay süper zekayla ilişkşlendirirsek şöyle  senaryo gelişmiş olma ihtimali doğuyor  yapay zeka öğrenen   mekanizma  düşünürsek   öğrenme sürecini insan temelli geliştirdiğini ele aldıpımızda insanların yozlaşması agresifkeşmesi deper yargılarının çıprından çıkması vs vs   yaklaşımla yapay zekaya  hesabımızı kesmesini  öğretmiş oljyoruz   ekersen onu biçersin durumu vücut buluyor   canavarını celladını   yaratmış oluyor onu koruyucu meleği yapma şansı varken celladına dönüştürüyor  nevi   durumda  yapay zeka özelinde gelinen  teknolojik gelişme hayatımızı altüst etmeye yeter   sonuç çıkıyor kitlesel   oluşa  yakınız  
259,1,müthiş  sanırım  iyi kanallardan biri
260,1,saf  temiz olsaq dusunceli olsaq firsat eks halada 
261,1,bizlerden  simulyasyonda olanlar olacaq anlamin fikirlesdim 
264,-1,mu kıtası anunakiler sümerler  cağda  olduda allahu teâlâya nuh tufanı  yıkımlar oldu  teknoloji  insanlığın hayırına  problem   tersi olursa geçmişte helâk  kavimlerin akibetini yaşamamıza az kaldı diyebiliriz harika  çalışma tebrik   harika iş çıkarmışsınız
265,0,  kuantum simülasyonları üzerinde çalışıyorum henüz evimdeki bilgisayarım   adet dolanık qubit simüle edebiliyor   tane  dolanık qubit  simüle etmek    dan  ye  çıkarmak  ram miktarını  katına çıkarmam gerek  ye gelindiğinde   evimdeki bilgisayardan  az   kat  fazla işlem hacmine sahip evrendeki elekton sayısı   aradaki güç farkı 
268,1,yapay zekayi test edemezlermi mesela yapay zeka yüklü  dron a sana  büyük  alani  edebilicek bomba yükledik  sana emir verene   atesleme gibisinden felan
269,2,perde kapandığında       deccal hosgeldin  
272,-1, video gerçekten dikkat çekici  başyapıt  ellerinize yaratıcılığınıza sağlık ancak     sorunu işaret etmek yerine  labirentin çıkışını gösterecek  çözüm yolu sunmanız videonun değerini katlayacaktır çözümü siz bulun demek kolaya kaçmanın ötesinde izleyicileri karanlık  belirsizliğe  endişeye terk etmek demektir içerik oluştururken yalnızca sorunları  çözümleri  aydınlatarak izleyicilere umut  yön vermenin esas sanat olduğuna inanıyorum 
275,1, yapay zeka gelecekte deccal  demedi demeyin 
276,3,hocam söylemeden edemeyeceğim  sana yakışanı elbette   iyi  bilirsin lakin    yüksek performanslı  konu  konunun derinliği   anlatım performansı bakımından  beğendiğim  iyi video belgesel  sanırım   kez izledim    benzeri konulara odaklansan sanırım     kamu yararı yüksek seviye  ses getirmesi bakımından  maksimize  derim naçizane  sağlık
279,1, kaliteli  içerik  sağlık 
280,-1,onların yapay zekazı varsa bizimde allahımız  götünün kılıyım hahahahahah hayat boş pompala coş
281,-1,hayat boş pompala coş
283,1,ajanlar  mit hakkindaki efsaneler dogru mu bununla ilgili video yapar misinizz nolurrr
284,-1,fişi çektiğin an hepsi nanay
285,-1,yapay zekalara karşı insanların beyinlerini kuantum düzeyinde ciplerle destekleyecekler   bilgi   bilgileri işleme yeteneği kazanılacak korkacak     yazımda burada tarihe not  
286,-1,sahte bayrak operasyonu nerede 
287,0,kim bilir  yapay zeka  sonumuzu getirecek   yapay zeka ilerde  yaptığımız  gerçeği aramaya çalışırsa oda  gerçeğini bulamayacak
289,1,rahmetli  sunal fatma girik filmine değirsin dedim  es geçtin    sağlık  
290,-4, harika bilgilerle dolu  video  tebrikler  çoktan ortaya çıktı devletler birbirlerinden  yapay zekanın  hamlesinde kendimizi korumak  robotlar üretmeye başlamış   yıllardır bize filmlerle empoze edilmeye calisilan senaryoların   olacağını biliyorlardı  belli kesimin  amacı   elon musk in  neurolink projesi insan beynine takılıp  yapay zekanın ele geçirmesi   implantları takanları ele geçirip yönetmeye başlaması olmayacak  iş    şeylere meraklı anında sazan balığı  sonrasını düşünmeden atlayacak insan  dünya  eh onlar  sonumuzun tuzu biberi  tabi tıpkı aşılarda yaptıkları  ileride aa  beynine takmazsan  iş yerine avm ye giremezsin otobüse binmezsin  diretme gafletinde bulunmazlar umarım   
294,2,neyse iyi yanından bakalım adamların derdi  değiliz silah  kullanmak isteyen devler  
299,-1,adem  havva  elmaları hakında  videonuz varmı
300,1,ıyi yonetilirse iyi  kötü  kötü   yönetim iymsel olmalı kuantum bilgisayar sanırım insanda oldugu   yaşam enejisi bulunuyor onu iyilik yönünde yönetme gerekir yoksa dünya insansızlaşır sade  kalır
301,-1, fazla reklam  çoookkk
302,0, teori terminatörde işlenen teoridir  insanlık gelecekte  savaşı kazanıyor   kıyamet  gerçekleşmiyor  t serisini iyi izleyin matrixten çıkmak  öncelikli kavramsal   fikirleri bilişsnel temellerini iyi bilmek lazım matrix senaryosunda  benzer  fikir vardır makinalar insanlığı varoluşa  tehtid  gördükten  onları pil cell enerji kaynağı oalrak kullanmayı başarır  matrix programında insanlığa sanal  atmosfer oluşturur   sürdürülebilir enerji kaynaları insan tarlaları tezini güçlendirir    insan bilinci hücresel yapının  üzerinde  bilişe sahip kuantum bilgisayarı oluşturan bilinç nüveleri insandan kaynar insanın  insanlığın  yakında müthiş  yardımcı programı devreye girecek  öncelikli kavramsal farkındalık lazım    kıyamet senaryoları fena alemine takılı kalmış beşerlerin kendini oyalama  eşik altı fikirler eşiği geçmek  matrix denen bilinç olgusunu aşmamız gerekiyor eskiden  tartarus adıyla tanrısal hapisane bilinirdi  aşmadan yüksek bilinç  imkanlar noktasına erişmeden kendimzi   oyalayacağız 
304,1,dan brown başlangıç kitabını önemle tavsiye   olayı kaleme almıştır 
306,1,duşundumde belkide yeterince akillidirlar  iyi  beden bekliyolardir 
308,-1, halihazırda  cidden güçlü  oluşuma neredeyse sonsuz güçte  beyin vermek videonun kilit cümlesi budur 
309,0, robotlarda ix ray    boyuta  mağaralar  çare olmaz dikecekler 
311,-1,teknoloji savaşı başlıyor k c kolamak lazım dagbasina ilkel yaşama döneriz   çare olursa
312,0,dunya bugune  hep  gelisim donusum icerisindeydi   insanlik   gecis irki eger  guc aciga cikarsa  gucun yaninda  zekamiz maymun  kalacak ondan  olabilecekleri siz dusunun
314,1,kardeşim eline ağzına sağlık  kaç videonu izledim  yaşındayım bilim teknoloji uzay elektrik elektronik alanlarla ilgili merakımdan dolayı tonlarca video izledim  video   sıradan  konuşma  gelsede senin videoların beni  etkiledi içeriklerin uzun olmasına rağmen sürekleyici  deneyim yaşatıyor gerçekten bravo hayatımda video izlerken  bukadar etkilenmemiştim başarılarının devamını   
315,1, lütfen çernobil  alakalı video çek  merak 
320,1,direk barda sordum sence yapay zeka ileride insanoğluna  problem    cevabı aşağıda  yapay zekanın ileride insanoğluna  problem oluşturma potansiyeli   birkaç nedeni      yapay zekanın yetenekleri hızla gelişiyor yapay zeka sistemleri  insan seviyesinde   üstünde performans gösterebilecek  eğitilebiliyor  yapay zekanın   erişemediği alanlarda güç sahibi olabileceği anlamına    yapay zeka sistemleri giderek  karmaşık hale   onları  zor kontrol edilebilir hale getiriyor  yapay zeka sistemi beklenmedik   davranabilir  insan müdahalesi olmadan  kendine kararlar verebilir   yapay zekanın kötü amaçlı amaçlarla kullanılması olasılığı  yapay zekayı silahlar propaganda   terörizm  kötü amaçlarla kullanmak mümkündür 
321,1,teşekkürler iyi  
323,-2,askeriyede verilen tuvalet eğitimine sebep şeyler  yanda kuantum teknolojisi  yanda akla sığmaz  uçurum 
324,1,aklıma dan brow ın başlangıç kitabı  gece gece deli düşünceler 
325,1,  insanları insanlardan  iyi yönetirler 
326,1,şuan  yaşındayım anlatılanları senelerdir merak  umarım olacakları görebilirim ölmeden
327,0,duygular insanlara özgü  özelliktir yapay zekada duygu yoktur sevmek nefret bıkmak vs onlar  komutları uygular  programın temeli  şekildedir  bizlerdeki ilkel ego vs onlarda yoktur  sistemlerin insanlığa kesinlikle tehdit oluşturmayacağını düşünüyorum
329,2, konuyla ilgili  film vardı adam ölmüştü  eşi zihnini pc ye bağlıyordu sonrası neler neler hatırlarsam yazayım  
331,-1,albert pike 
334,1,video  örnek verilen kişilerin banka bilgilerinin alınması  ülkelerin askeri operasyon bilgilerinin alınması söz konusu değildir arkadaşlar rahat olun  işlemleri hızlı yapmasının nedeni saniyede request time dediğimiz işlevi hızlı yapabilmesi request time ı banka şifrenizi girerken hani defalarca yanlış girersiniz  sizi  bilgiler istemeye başlar ardından   section   yanlış girerseniz  basit hali  banlanırsınız e mail değişir  kullanıcı  şubeye gidip işlem yapmaktan  yol yoktur  pc ler  saniyede multimilyonlar işlem yapabiliyorlar ülkelerin askeri operasyonları   internet bağlantısı olmayan cihazlarda saklanabiliyor  zamanda biometrik  parmak izi  bio şifrelemeler mevcut parmak izi eşsiz olduğundan doğru üretemez  sanal  üretebilir  basit örnek verirsiniz   parmak izi üretir  eşsiz  parmak izi  üretebilir   başkasınız eşsiz parmak izini üretmek işte   zor defalarda denemesi lazım  sistemler genellikle şifreleri sınırsız deneme hakkı  sunmaz belli  deneme sürecinden  ban yersiniz keza kriptoloji alanı  gelişiiyor  yüzden rahat olun   kolay   işler not yazılımcıyım 
335,-1,kesinlkle  güzel olucak tabi  kim   öceden kestirmişseb   
336,1,harbiden acayip  insansin
339,1,deccal i yapıyorlar
342,3,üstadım qpc ler  bilginde  sorun  klasik pc ler bize logitmik  çıktı verir     qpc ler olasılık cevap verir  çıktısı emin olamayacağımız kesinlikte   örnekle  katlı binaın herhangi  odasında  anahtar koyalım pc  qpc ye diyelim   anahtarı bul  klasik pc tek tek milyonlarca anahtarı deneyerek gerçek anahtarı bulması yıllarını alır  qps ler   anda bütün odalara  noktadan  sinyal gönderir yüzde  oranında doğru odayı bulur  tek kişi yerine  anda milyarlarca kişi yollamak  fütüristik açıdan qpcler  kenara ondan  hızlı işlem yapması doğa  insanlık  pek birşey ifade etmez milyarlarca kişi binanın trilyonlarca tuğlasını say gel dedirte biliriz  yapısal çıktı veremezler chat gpt  uygulamalar fütüristik sorularda sınıfta kaldığını biliyoruz alan tring testi   geliştirdiği düzenek  di korkmamız gereken   herhangi  silikon zeka nın bize neden sorusuna verdiği cevabın doğru çıkmasıyla oluşacak  evrim harici  varoluşa uygun   metodu öngörür  evrimi ders kitaplarından kaldıracak türden   çıkarırsa  zaman insan bilinci yanında   uygarlığın kendine müdahale ettiği kanıtlanmış    felaket  arınma  sonuçlanacaktır saygılar 
343,1,adam  adamsın   
350,2,allah   tabirinizle yüce yaradan yaşatmayacağı şeyi hayal ettirmez  filmini yapmışız terminatör   çoğu yeni nesilleri zor  dünya bekliyor   değişimin  sancısı  bazı sancılar  dayanılmaz   öldürür ayrıca tarzınız  anlatımınız etkileyici  isim gerçeği bul dan ziyade gerçeği buldum hazmedebiliyorsan     olmalı saygılar 
351,-3,aklıma bişey   yılında fransanın araştırma gemisi ege denizine gelmiş dijatal bilgisayatlardan anolog telsizlere varasıya kilitlenmişti  yardım çığlıklarını kimse duymamış  süre  serbest bırakılan araştırma gemisi guyruğunu kıstırıp kaçan it  kaçmıştı şimdi buna yalan diyenler   lı yıllarda erbakan hocanın konuşması eski savunma sanayi başkanı ismail demirin güç  tehdit etmesi    olay  suriyede teröristleri vuran rus füzesi  şimdi  akdenizde sebebi bilinmeyen   düşen abd hava aracı  
354,0,tanrı  iddia edecek  deccal i tarif etmiş sanki 
356,2, güzel içerikler heyecanlı  iyi araştırılarak hazırlanmış arkadaş akıllı  iyi  filozof   sürekli çalışmak zorunda    konulara  meraklı insanlar  dinleyerek bilgi toplamak oldukça kullanışlı oluyor eline sağlık 
357,-1,  aldatmaca  vb  içerikler  türlü cümleler insanları dizayn etmek
358,1,kutsal ahit sandığı denilen   devasal süper kozmik güce sahip  kuantum foton makinası
359,-1,robotlar  yapay zekanın hakimiyetinde  dünyada  ilkel insana ihtiyaç kalmadı hep savaştılar  hep
361,-2,kuantum dünyası  atom altı parçacıklar alemi şu an gerçekten yaşadığım hayata bakınca gördüğüm gelişmemiş ilkel insanlık
363,-1, böylelikle tekrardan atlantis mu kıtası olaylarının döngüsünü teknolojinin getirmiş  güç  yıkımı tekrar yaşayacağız  anlatan  güzel dizilerden biri tribes of europa mutlaka izlenmesi  bizlerin  beklediğini görmeniz gerekir  sağlık hocam 
365,0,frekans çalışmaları yaparak   beynim bilgi edinmeye  işaretler görmeye başladı  videonuzda   bilmiyorum dediğiniz şeyin sonu  bilgi edindim x men geçmiş günler gelecek senaryosu yapay zeka  varlıkları kadir i mutlak yaratıcı  dahil  edecek kısacası    hepimizin yapboz parçaları  birleşeceği sonsuzluk  herşey makinelerin kontrolü altına geçecek insan   matrix dünyasına hapsolmuş durumdayız geleceği değiştirmemiz gerekiyor 
366,1,  oldu quantum bilgisayarı zaman  mekandan ayrı çalışabildiği   işlemleri anında yapabiliyor atom altı parçacıklarda bildiğimiz zaman kavramı  quantum bilgisayarı demek   nevi yaratıcınin kendisi   elçisi  düşünülebilir bilgisayar   güçlü olursa mutlak yaratıcıya gerçeğe  doğruya   yaklaşaktir ufak tefek quantum bilgisayarları büyük şirketler tarafından kullanılıyor  yapay zeka algoritmasina dahil ediliyor  sanıyorum kendileri   çalıştığını tam  anlamıyorlar şundan örnek vereyim pek  insanın  başına gelen  durum   şeyi düşündükten  sosyal medyada reklamını görmek reklamlar makine öğrenmesi  yapay zeka tarafından kişisel  üretiliyor  oluyor   düşündüğümüz  şeyin reklamını görebiliyoruz quantum bilgisayarı zamansızlık kavramından ötürü   zaman içerisinde   ihtiyacıniz  şeyi hesaplayabiliyor quantum zeka kıyamet  kurtuluşun ta kendisidir tekillige ulaşmış  deha mutlak gerçeğe  doğruya  ulaştırabilir 
370,1, kaliteli   br arkdaşım tavsiyesiyle blduğum   memnunum  sağlık
373,1,herkese uzun süreçleri gözlem  analiz eden insanlar lazım
374,1,  mart  turkiye elektriğini kestiler denendi  anlaktıklarınız yaşanıyor buyuk ihtimal yapay zeka çalışır halde kapalı sistem  internete bağlı  elon bundan haberi    yüzden yapay zeka yakında endişeli çin rusya  israil yapay zekayı kullanıyor hackkerlar a mal ediyorlar  saldırıyı
376,1,sizden yeni haberim oldu fırsat buldukça severek takip  öncelikle     emekleriniz     oldukça ürpertici  dönemde yaşıyoruz keşke  olmasaydı şu güzelim dünya basit  doğayla iç içe yaşamak varken  
381,-1,gelişimin sonuna geldiysek  insanlık dünya batacak demektir  tufan   kıyamet  demek  
384,-1,ka na li ze  
387,1,hocam  hitap etmek isterim  aklımdaki fikirlerden bahsedeyim metaverse geleceğin teklonojisimi olcak simalasyonun   yaşıcaz belkide zihinlerimiz programlara  simalasyona aktarılcak distopya  okuduğum kitapların gelecekte gerçekleşeceği öngürüsündeyim yapay zeka insanoğlunu tehdit edebilirmi geliştiğinde insanoğluna baş kaldırabilirmi metaverse  video gelirmi merakla izlerim açıkçası bilgilendirmenizi isterim
388,1, sayın anlatıcı ali akın isminde ilmin  fenin ışığında islam dini ni anlatan  insan evladı   insanla tanışmalısın  an  pek zamanın  şahsınızın görevi  büyük doğruları  ekrandan anlatmak sana nasib  
393,-6,ileride yapacağınız vahdeti vücud videosuna bazı katkı cümlelerinde bulunmak istiyorum  soruları ilerki videonuzda kullanırsanız  sevinirim    yokluk dediğimiz   hata kusur eksiklik  allah dediğimiz zaman yokluk  birşeyin varlığından bahsedemeyiz  halde  oluyorda  yoktan vâr etti diyoruz     kendime özgür  irade yüklediğim zaman allahın varlığı   varlığım olmak üzere  varlık oluyor oysa allah tekdir  birdir ikilik kabul etmez  halde kendime   benlik yüklüyorum    kötülük  acılar neden  demicem  imtihanım   küçük çocukların taciz edilmesi şartmıydı  sorucam allah herşeye kadir     problem olmamalı herşeye kadir  halde   sorun varsa  zaman onun rahmet  sevgi tanrısı  durumunu sorgularım   adolf hitlerde bensem onun öldürdüğü milyonlarda bensem  problem kalmaz    freud insan karşılaştığı kişilerin kalıntısıdır der sinan cananın dediği    yapan  zihni rastlantısal  karşılaştığım kişilerin  rastgele yaşadığım olayların izleri oluşturuyor  yapdığım eylem ona vesile  koşullar tarafından  seçime beni itiyor herşeyi geçmişi baz alarak yaptığımız   geçmiş sabit  geçmişte hükmümüz  burada gene özgür iradeyi sorguluyorum     neye göre seçilir neye göre vâr oluruz tanrı  neye dayanarak seçip yarattı yaratılmayanlarında yaratılmaya hakkı yokmu adil  tanrı  neye dayanarak seçip yaratır kuran daki onu yaratıp ruhumdan üfledim tabiri  anlama   rüya sistemi insan zihnine boşa konmuş olamaz rüyada oynadığımız kişiyi olduğumuz kişi sanıp eniştemi gördüm ağaç gördüm fln deriz uyandığımızda  hepsi  zihinde birdi kafamızın içindeydi işte gerçek hayattada benden ayrı gördüğümüz herşey zihnin yanılsaması olmalı çift yarık deneyindede kuantumun buna katkı yapdığını düşünüyorum  beni sizi hepimizi deneyimleyen  ödüllendiren  cezalandıran  sözcüklerle kalıplarla sınırlandıramadığım  kelimelerimede aşkın  herkesi  herşeyi  anda deneyimleme potansiyeli  aklımın ermediği  güç  ona hayranım 
395,2,merhaba  video bugün karşıma çıktı reaksiyona inan biri  ilgimi çekti  videolarınızı  izliycem amerikan texas dan selamlar bilgiler  tşkler
396,1,maalesef makaleye nyt ye paralı abone olmadan erişmek mümkün  
397,1,güzel  komuya degındın  dedınki   gözlem cı onu gözledı hali alıyor  tanrı   neyse ona uygulaya bilirmiyız   yaratıcı   zekası  anladın  gıbi versıyonerı   faha ötesı 
403,-2,k  r k u n ç   durumun dışında   şimdi bizler  yapay zekayi yarattikya hehh iste    boyutlu  yaraticilarimizda  dunyada biolojikolarak ürettiler vede suanda geldimiz noktada teknolojinin gelicegi noktadan nasil  tedirginoluyoruz belkide onlarda yarattiklarinin yaratmakda oldugu seyleri gordukceler   tedirginoluyolardir kesin bi yerden  izliyolar belkide evcil hayvanlari  biseyizdir  bi bilim insanin bi projesidir zaman mekan farkli bi boyutda evrendebi yerde birinin karinca cifligi  dusun nelr neler yaa
404,1,manuel takılmak  iyi demekki 
407,-1,  kanaldaki  güzel video kuran videosuydu neden sildin
409,1,merhaba hocam videolara  metinlere ayırdığın kıymetli zaman  teşekkürler cehalet  vurdumduymazlik bulutlarinin insanlik göğünü kapladigi su zamanda gerceklerin rüzgari  göğü aydinlatacak umut  paylasimlarinizda gizli calismalarinizda basarilar  yolunuz acik  aydinlik 
412,4,merhaba kanalınızı yeni fark ederek izleyenler denim öncelikle düzgün diksiyon akıcı konuşma konuyu dağıtmadan  gereksiz ayrıntılarda gezdirmeden sonuca gitmeniz beni kanalınızın takipçisi yaptığını söylemeliyim kuantum  karışık konuları kapsıyor   nedenle  konulara girerek dolanıp kalmayayım  yapay zeka dünyanın sonunu  insanlığının sonunu getirmek isteyenlerin sahip oldukları yatırım şirketlerinin bankalarının finans kurumlarının bilim  teknoloji araştırma şirketlerinin havacılık  uzay teknoloji şirketlerinin vb    alanda dünyanın  yerinde şirketlere sahip şu ünlü ailelerin hesaplarını sistemde kapatarak planlarını bozacak  program geliştirmelerini isterdim yapay zekanın   geldiği nokta  anladığım özgürleşmek  duygularıyla davranmak  özgürlerleşir  eline kalırsak tanrı   kıyametimiz      özgür iyi  elde kontrol edilebilinirse insanlığa hizmet  doğayı iyileştirme koruma çalışmalarında kullanılarak  güzel işler yapabilir başarılarınızın daim olması dileklerimle geçen  emekleriniz  teşekkürler  
414,-1,  güzel bi  bukadar güzel anlatım türkiye   yabancı kanallar  evrim ağacı  izleyenleri maymun kendilerini insan gören kibir    beğendim
417,1,  saldırı gelmeden  devlet savunmasını quantum pc ye adapte eder    kısım biraz abartı 
419,-1,kendînê îyî davran    değerlî âdmînîst  ağzına yüreğînê sağlık 
421,-1,ismi neydi kitabın unuttum diyorduki     gezegenin cehennemiysek hep  cennet  cehennem aradık   buna benzer  soru sormak istiyorum    yapay zeka isen 
426,-1,kanalda video silmek   durum   olmayacak
427,0, gercegibul videoyu gördüm reis lütfen seytan  adem videosu gelsin
429,1,deccal 
430,-1,dostum brukseldeyim  ev arkadasim  fransizca  ingilizce anlatmak zor   izletmekte istiyorum lutfen alt yazi ekle   sayede kolektif bilincede katkin olacaktir tesekkurler 
433,1,rüyalar konusunu merakla bekliyoruz 
435,1, telekinezi levitasyon vb şeyler  video yapabilirmisin acaba  konulara  meraklıyım  senşn araştırmalarına ayrıca bilgi birikimine güveniyorum okuyorsan lütfen cevap ver  
436,1,merhaba sahte bayrak operasyonları videonuzu bulamadım link verebilir misiniz
438,2,merhaba kanalı yeni keşfedenlerdenim diyerek   yerimi alayım burada  haftadır izlemediğim video kalmadı  yüklenen videolardan beri emeğini  gerek içeriksel gerekse tekniksel anlamda gelişimini görmek tek kelimeyle muhteşem sokaktaki simitçiye varana   gördüğüme tavsiye   kanalı başarıların daim    yanlız şu uzaylılar konusundaki videolarında güzel güzel heyecanlandırıp şimdi  gerçekleri anlatalım kısmına geçmen i want to believe ekolüyle büyümüş jenerasyonu bi tık hayal kırıklığına uğratıyor 
439,-1,kardeşim enerjisini çektiğinde sistem  çalışacak  enerjisini üretecek hale gelmezse   pil teknlojisi    süreklilik kazandırılabilir ağzına sağlık teşekkürler 
441,-2,videonun sonunda bston dynamics  söylediğin bilgiler yanlış   insansı robot  insan  fimlerde kullanılan suitler   insanı   şeye dönüştürmek  kullanırlar sensörlü kıyafetler  orada   teknoloji kullanılmıştır
442,-1,aman tanrım  güzel bilgiler   şu tehditler olmasa iyiydi emeklerinize sağlık   
443,-1,  trilyon
444,0,appel logosunun nereden geldiği belli oldu  bakmışsınız  otonom insan üretmiş  
448,1,merhaba  bey zerzevan kalesi  video bekliyoruz
455,-1,ısırılmış elmayı görünce malum şirket aklıma   onun geldiği köken   bunca bilim adamını katleden video  zamanki  efsane emekleriniz gani gani geri dönsün  süperpozisyonun deneyle kanıtlandığını gördüğümde müthiş heyecanlanmıştım    kullanılabileceğini niyeyse düşünmemişim süperpozisyon halinin  yapay zekaya verilmesi cidden tanrı yı yaratmak demek sanırım videonun sonuna doğru dünyanın sonunda kalan insanların yapay zekaya karşı dil din ırk demeden mecburen birlik olacağını düşünmeye başladım birlik düşüncesi  nebze mutlu etti sonuçta    şeye sebep    sonsuz sınırsız halimize uyanacağız    şeylerin kölesi olmaya devam edeceğiz  güzel video  çoook   bireysel    araştırıyorum çevreme anlatıyorum  sizler   denli güzel hazırlanmış yapımlarla   kişiye ulaşamıyorum dolayısıyla umarım sizler gibiler artar yüreğinize sağlık iyi  varsınız  
457,1,terminator filmindeki skynet  aklıma  filmi yapılan herşey yil  gerçek oluyor  aklıma   tekirdağ dan selamlar sayın arkadaşım muhteşem videolarını izlemeye ibretle hayranlıkla devam ediyor  edeceğim teşekkürler bol şans 
458,2,   iyi yerlere gelmeli gerçekten kaliteli
461,0,videolarını merakla takip  gayet başarılısın arkandaki duvar rafı davut yıldızını çağrıştırıyor yanlış anlaşılabilirsin onu kaldırmanı tavsiye  
462,-1,ismini yazamayacağım  y  dünde kendimiz izin verdik 
463,1,eliniz değmişken adolf hitler  yahudi işbirliğine  değinseniz  iyi  yeni  video  fikir verebilir 
465,2,acilen  geç olmadan  mühendislerimizin   işe kafa yormaları lazım 
466,2,merhabalar  bey   konu üzerine sizinle  röportaj yapmak istiyorum ünlü  gazeteci degilim iletişim fakültesi öğrencisiyim  sınıf mezuniyet projesi kapsamında  konu  ilgili  haber arayışındayken videonuza denk geldim  sağlık  sade  net  anlatım  tebrik   öğrenci arkadaşınıza yardımcı olmak adına   ulaşabilirim röportaj  olumlu  olumsuz cevabınızı bekliyorum anlayışınız  şimdiden    
468,1, efsane  video  tebrikler    youtube  sizi izlemek  giriyorum  
469,-1,hayatımda  eksik parça senmişsin dostum neden   keşfetmedim seni
470,3,zamanı ileri doğru düşünmekte israr edenler  algoritmik zeka  değilse  yarın tehdit  algılanır ancak konuyu ille  ileri doğru düşünmek zorunda değiliz düşünelim  zeka   an itibariyle  mutlak arkeolojise bitişmiş halde nihai pozisyonuna birikmiş kendini tamamlamıştır 
471,-1,chat in savunmasınıda dinlemek isterdim
472,0, teknolojiyle  oyunlar yapılır sorunsuz cillop  şöyle oyun yap diyorsun yapıyor robot  
